"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Injured","# Victims Killed","# Subjects-Suspects Injured","# Subjects-Suspects Killed","# Subjects-Suspects Arrested",Operations
2186858,"December 9, 2021",Maryland,"Capitol Heights","6700 Walker Mill Rd",4,0,0,0,0,N/A
2186246,"December 9, 2021",Wisconsin,Beloit,"1900 block of Porter Ave",5,1,0,0,0,N/A
2183667,"December 6, 2021",Pennsylvania,Philadelphia,"1500 block of N 29th St",4,0,0,0,0,N/A
2182789,"December 5, 2021",Michigan,Detroit,"5200 block of Marlborough St",2,2,0,0,0,N/A
2183120,"December 5, 2021",Texas,"El Paso","2910 Tularosa Ave",3,1,0,0,1,N/A
2181840,"December 3, 2021",Tennessee,Memphis,"3885 Elvis Presley Blvd",2,2,0,0,0,N/A
2181096,"December 2, 2021","North Carolina","Elizabeth City","Perry St and Jordan St",3,3,0,0,2,N/A
2179099,"November 30, 2021",Georgia,Rex,"3600 block of Jervis Court",2,3,0,1,0,N/A
2178487,"November 30, 2021",Michigan,Oxford,"745 N Oxford Rd",7,4,0,0,1,N/A
2177268,"November 28, 2021",Pennsylvania,Philadelphia,"1300 block of S 50th St",4,0,0,0,0,N/A
2176922,"November 28, 2021",Maryland,Baltimore,"1300 block of North Montford Ave",7,0,0,0,0,N/A
2177300,"November 28, 2021",Illinois,Evanston,"1950 Green Bay Rd",4,1,0,0,0,N/A
2177416,"November 28, 2021",California,Lancaster,"3500 block of Garnet Lane",0,5,0,0,1,N/A
2176653,"November 28, 2021",Colorado,Aurora,"1500 block of Dayton St",5,0,0,0,0,N/A
2176667,"November 27, 2021","New Jersey",Newark,"900 block of Bergen St",3,1,0,0,0,N/A
2176058,"November 26, 2021",Tennessee,Nashville,"2815 Torbett St",4,2,0,1,1,N/A
2175329,"November 25, 2021",Texas,"San Antonio","4000 block of Sunrise Creek Dr",1,3,0,0,0,N/A
2175615,"November 25, 2021","South Carolina","Green Sea","Long Branch Swamp Rd",4,0,0,0,0,N/A
2173531,"November 23, 2021",Florida,"Lehigh Acres","Cervantes St",4,0,0,0,0,N/A
2174033,"November 23, 2021",Texas,Marshall,"700 block of Cross St",3,1,0,0,1,N/A
2174685,"November 22, 2021","North Carolina",Warsaw,"101 Matthews St",2,2,0,0,0,N/A
2172178,"November 21, 2021","New Jersey",Passaic,"Howe Ave and Lafayette Ave",5,0,0,0,2,N/A
2172657,"November 21, 2021",Louisiana,"Baton Rouge","4888 Plank Rd",4,1,0,0,1,N/A
2171568,"November 20, 2021",California,Fresno,"3665 N Pleasant Ave",2,2,0,0,0,N/A
