"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Injured","# Victims Killed","# Subjects-Suspects Injured","# Subjects-Suspects Killed","# Subjects-Suspects Arrested",Operations
2340696,"June 26, 2022",Texas,Winona,"18005 FM 2767",5,0,0,0,0,N/A
2340409,"June 26, 2022",Washington,Tacoma,"5415 S Tacoma Way",8,0,0,0,0,N/A
2340297,"June 25, 2022","New York",Brooklyn,"690 Quincy St",4,0,0,0,0,N/A
2339761,"June 25, 2022",Texas,Houston,"4207 Madden St",2,2,0,0,0,N/A
2340347,"June 25, 2022",Minnesota,Minneapolis,"SE Main St and 6th Ave SE",4,0,0,0,0,N/A
2339866,"June 24, 2022",Virginia,Hopewell,"Elm St and Arlington Rd",2,2,0,0,0,N/A
2338874,"June 24, 2022",Pennsylvania,Philadelphia,"S Bucknell St and Oakford St",2,2,0,0,0,N/A
2338902,"June 23, 2022",Illinois,Chicago,"7900 block of S Lafayette Ave",3,1,0,0,0,N/A
2335052,"June 20, 2022","New York","New York (Manhattan)","5th Ave and W 139th St",8,1,0,0,0,N/A
2335872,"June 20, 2022","New York","Staten Island","Taft Ave and Westervelt Ave",5,0,0,0,0,N/A
2334920,"June 19, 2022","District of Columbia",Washington,"14th St NW and U St NW",3,1,0,0,1,N/A
2334936,"June 19, 2022",Michigan,Detroit,"18501 Healy St",3,1,0,0,0,N/A
2334374,"June 19, 2022",Michigan,"Grand Rapids","Griggs St SE and Division St",4,0,0,0,0,N/A
2334512,"June 19, 2022",Florida,Miami,"US-1 and SW 22nd Ave",5,0,0,0,0,N/A
2334620,"June 19, 2022","South Carolina",Walterboro,"1109 Rivers St",2,2,0,0,1,N/A
2333675,"June 18, 2022",Florida,Pensacola,"15 E Intendencia St",5,0,0,0,3,N/A
2334359,"June 18, 2022",Texas,"San Antonio","2500 block of Patron Dr",5,2,0,0,0,N/A
2334096,"June 17, 2022",Maryland,Baltimore,"1800 block of W Lafayette Ave",4,0,0,0,0,N/A
2333667,"June 17, 2022",Illinois,Chicago,"3000 block of S Rhodes Ave",5,0,0,0,0,N/A
2333154,"June 16, 2022",California,Oakland,"316 14th St",4,1,0,0,0,N/A
2328374,"June 12, 2022",California,"Los Angeles","3300 block of E 14th St",4,3,0,0,0,N/A
2328532,"June 12, 2022",Michigan,Roseville,"27000 block of Kelly St",4,0,0,0,0,N/A
2328265,"June 12, 2022",Indiana,Gary,"1700 Grant St",4,2,0,0,0,N/A
2328215,"June 12, 2022",Indiana,Indianapolis,"9200 block of Sussex Ter",4,0,1,0,0,N/A
2328117,"June 12, 2022",Louisiana,"New Orleans","3940 Tulane Ave",4,0,0,0,0,N/A
2328342,"June 12, 2022",Colorado,Denver,"4600 block of Colorado Ave",4,2,0,0,0,N/A
2360288,"June 11, 2022","New Mexico",Alamogordo,N/A,4,0,1,0,1,N/A
2327598,"June 11, 2022",Michigan,Detroit,"13500 block of Cloverlawn Ave",4,0,0,0,0,N/A
2327645,"June 11, 2022",Illinois,Chicago,"8600 block of S Damen Ave",4,1,0,0,0,N/A
2328482,"June 11, 2022",Georgia,"Atlanta (College Park)","6500 block of Woodford Rd",7,0,0,0,0,N/A
2328108,"June 11, 2022",Tennessee,Antioch,"660 Bell Rd",2,2,0,0,6,N/A
2327991,"June 11, 2022",Kentucky,Louisville,"1101 River Rd",6,0,0,0,2,N/A
2327247,"June 10, 2022",Georgia,Decatur,"2801 Candler Rd",3,1,0,0,0,N/A
2325498,"June 9, 2022",Maryland,Smithsburg,"12912 Bikle Rd",2,3,1,0,1,N/A
2325328,"June 8, 2022",Arizona,Yuma,"1500 block of S 4th Ave",4,0,0,0,0,N/A
2323642,"June 7, 2022",Virginia,Portsmouth,"1628 Maple Ave",0,4,0,0,0,N/A
2324475,"June 7, 2022",Illinois,Chicago,"1223 S Lawndale Ave",4,0,0,0,0,N/A
2324435,"June 7, 2022",Maryland,Baltimore,"5500 block of Plainfield Ave",2,2,0,0,0,N/A
2324496,"June 7, 2022",Illinois,Chicago,"13000 block of S Champlain Ave",4,0,0,0,0,N/A
2321772,"June 5, 2022",Michigan,Saginaw,"300 block of S 11th St",1,3,1,0,1,N/A
2321440,"June 5, 2022",Arizona,Mesa,"1457 W Southern Ave",2,2,0,0,3,N/A
2321532,"June 5, 2022",Tennessee,Chattanooga,"2125 McCallie Ave",11,2,1,0,3,N/A
2321693,"June 5, 2022",Michigan,"Grand Rapids","Pearl St NW and Ottawa Ave NW",3,1,0,0,1,N/A
2322804,"June 5, 2022","South Carolina",Andrews,"3000 block of County Line Road",5,0,0,0,0,N/A
2321193,"June 4, 2022",Michigan,Ecorse,"3800 block of W Jefferson Ave",4,0,0,0,0,N/A
2321593,"June 4, 2022","South Carolina",Summerton,"4193 St Paul Rd",7,1,0,0,4,N/A
2321500,"June 4, 2022",Georgia,Macon,"300 Block of Jones Ave",2,2,0,0,0,N/A
2320673,"June 4, 2022",Texas,"El Paso (Socorro)","10851 Thunder Rd",5,0,0,0,0,N/A
2321266,"June 4, 2022",Pennsylvania,Philadelphia,"200 block of South St",10,2,1,1,4,N/A
2320618,"June 4, 2022",Arizona,Phoenix,"N 10th Ave and W Hatcher Rd",8,1,0,0,0,N/A
2321698,"June 4, 2022","New York",Hempstead,"77 Terrace Ave",3,1,0,0,0,N/A
2320862,"June 3, 2022",Nebraska,Omaha,"2931 T St",3,1,0,0,0,N/A
2320361,"June 3, 2022",Virginia,Chester,"10960 block of Stepney Rd",5,1,0,0,1,N/A
2319567,"June 2, 2022",Texas,Centerville,"1696 TX-7 W",0,5,0,1,0,N/A
2318310,"June 1, 2022",Oklahoma,Tulsa,"6161 S Yale Ave",0,4,0,1,0,N/A
2318046,"May 31, 2022",Texas,Waco,"1900 block of Preston St",4,0,0,0,2,N/A
2316616,"May 30, 2022",Michigan,"Benton Harbor","999 Pipestone St",6,1,0,0,1,N/A
2315903,"May 30, 2022",Pennsylvania,Philadelphia,"N Delaware Ave and E Tioga St",2,2,0,0,0,N/A
2317016,"May 30, 2022","South Carolina",Charleston,"America St and South St",9,0,0,0,1,N/A
2315150,"May 29, 2022",Oklahoma,Taft,"104 Elm St",7,1,0,0,3,N/A
2315361,"May 29, 2022",Nevada,Henderson,"I-11 and Horizon Dr",7,0,1,0,3,N/A
2315892,"May 29, 2022",Illinois,Chicago,"4400 block of W Walton St",3,1,1,0,0,N/A
2316364,"May 29, 2022",Texas,Houston,"11654 Walnut Dale Ct",4,0,0,0,0,N/A
2315605,"May 29, 2022",Arizona,Phoenix,"N 58th St and W Windsor Ave",5,1,0,0,1,N/A
2315074,"May 29, 2022",Illinois,Chicago,"800 block of S Karlov Ave",5,0,0,0,0,N/A
2314991,"May 28, 2022",Tennessee,Chattanooga,"100 block of Cherry St",6,0,0,0,2,N/A
2315338,"May 28, 2022",California,Fresno,"2233 N 1st St",3,1,0,0,0,N/A
2315417,"May 28, 2022",Florida,Malabar,"2500 block of Billie Ln",4,0,0,0,0,N/A
2315190,"May 28, 2022",Colorado,"Colorado Springs","3800 block of E Pikes Pike Ave",3,1,0,0,0,N/A
2315333,"May 28, 2022",California,Merced,"2600 block of Cowden Ave",3,1,0,0,0,N/A
2314951,"May 28, 2022",Tennessee,Memphis,"Chelsea Ave and Peres Ave",4,0,0,0,0,N/A
2313988,"May 27, 2022",Alabama,Anniston,"1204 Front St",6,0,0,0,0,N/A
2313970,"May 27, 2022",Michigan,Stanwood,"10711 185th Ave",0,4,1,0,1,N/A
2312678,"May 25, 2022",Pennsylvania,Philadelphia,"3500 block of Fairmount Ave",4,0,0,0,0,N/A
2310278,"May 24, 2022",Texas,Uvalde,"715 Old Carrizo Rd",17,21,0,1,0,N/A
2309711,"May 23, 2022","South Carolina","North Charleston","7550 Dorchester Rd",5,0,0,0,0,N/A
2311123,"May 23, 2022",Ohio,Cleveland,"1032 Hartley Rd",5,0,0,0,0,N/A
2308096,"May 21, 2022",Indiana,Goshen,"1204 Rosemare Ct",3,1,0,1,0,N/A
2308395,"May 21, 2022",Washington,Tacoma,"S Yakima Ave and S 56th St",4,0,0,0,1,N/A
2308017,"May 20, 2022",California,Highland,"3606 Highland Ave",8,1,0,0,2,N/A
2307631,"May 20, 2022",Florida,Kissimmee,"2331 Old Dixie Hwy",3,1,0,0,0,N/A
2307813,"May 20, 2022",Louisiana,"New Orleans","St. Claude Ave and Forstall St",3,1,0,0,0,N/A
2307044,"May 19, 2022",Illinois,Chicago,"800 block of N State St",7,2,0,0,3,N/A
2306277,"May 18, 2022",Pennsylvania,Philadelphia,"1500 block of Bouvier St",5,0,0,0,1,N/A
2305208,"May 17, 2022",California,"Palo Alto (East Palo Alto)","2500 block of Fordham St",3,1,0,0,0,N/A
2302847,"May 15, 2022",California,"Laguna Woods","24301 El Toro Rd",5,1,0,0,1,N/A
2303130,"May 15, 2022","North Carolina","Winston Salem (Winston-salem)","2000 block of 25th St",7,0,0,0,0,N/A
2304029,"May 15, 2022","North Carolina","Elizabeth City","901 S Martin Luther King Jr Dr",4,0,0,0,0,N/A
2302740,"May 15, 2022",Texas,Houston,"8729 Airline Dr",3,2,0,0,0,N/A
2303337,"May 15, 2022",Texas,Amarillo,"1003 N Fillmore St",4,1,0,0,0,N/A
2301751,"May 14, 2022","New York",Buffalo,"1275 Jefferson Ave",3,10,0,0,1,N/A
2354757,"May 13, 2022",Louisiana,Napoleonville,N/A,5,0,0,0,1,N/A
2301494,"May 13, 2022",Wisconsin,Milwaukee,"Water St and Juneau Ave",11,0,5,0,11,N/A
2300713,"May 12, 2022",Arkansas,"Hot Springs National Park (Hot Springs)","134 Convention Blvd",3,1,1,0,1,N/A
2299660,"May 11, 2022",Illinois,Chicago,"6800 block of S Ashland Ave",4,0,0,0,0,N/A
2299126,"May 11, 2022",Indiana,Indianapolis,"701 Canal Walk",5,0,0,0,2,N/A
2299793,"May 11, 2022",Missouri,"Saint Louis","5000 block of N Kingshighway Blvd",3,1,0,0,0,N/A
2300830,"May 11, 2022","New Jersey",Paterson,"36 Essex St",4,1,0,0,0,N/A
